timestamp,open,high,low,close,volume
2024-12-06T04:00:00Z,1.05742,1.05845,1.05701,1.05836,7003
2024-12-06T08:00:00Z,1.05837,1.05940,1.05713,1.05869,51616
2024-12-06T12:00:00Z,1.05869,1.06298,1.05441,1.05633,138405
2024-12-06T16:00:00Z,1.05633,1.05754,1.05423,1.05543,55737
2024-12-06T20:00:00Z,1.05544,1.05694,1.05540,1.05673,11326
2024-12-08T20:00:00Z,1.05544,1.05692,1.05544,1.05656,5851
2024-12-09T00:00:00Z,1.05657,1.05659,1.05366,1.05372,33301
2024-12-09T04:00:00Z,1.05373,1.05664,1.05320,1.05642,42542
2024-12-09T08:00:00Z,1.05641,1.05853,1.05566,1.05688,70751
2024-12-09T12:00:00Z,1.05688,1.05928,1.05578,1.05911,72867
2024-12-09T16:00:00Z,1.05912,1.05944,1.05516,1.05552,32672
2024-12-09T20:00:00Z,1.05552,1.05576,1.05471,1.05541,14565
2024-12-10T00:00:00Z,1.05542,1.05614,1.05452,1.05564,40595
2024-12-10T04:00:00Z,1.05566,1.05680,1.05469,1.05488,34906
2024-12-10T08:00:00Z,1.05487,1.05515,1.05230,1.05312,56747
2024-12-10T12:00:00Z,1.05313,1.05337,1.04984,1.05037,70263
2024-12-10T16:00:00Z,1.05039,1.05312,1.04997,1.05268,40732
2024-12-10T20:00:00Z,1.05267,1.05318,1.05236,1.05311,11361
2024-12-11T00:00:00Z,1.05312,1.05393,1.05276,1.05282,30940
2024-12-11T04:00:00Z,1.05281,1.05303,1.04880,1.04899,49495
2024-12-11T08:00:00Z,1.04900,1.05124,1.04870,1.05033,66763
2024-12-11T12:00:00Z,1.05033,1.05373,1.04802,1.04906,115420
2024-12-11T16:00:00Z,1.04907,1.05119,1.04816,1.04911,57229
2024-12-11T20:00:00Z,1.04912,1.05064,1.04882,1.05061,11776
2024-12-12T00:00:00Z,1.05059,1.05087,1.05009,1.05053,8482
2024-12-12T04:00:00Z,1.05052,1.05308,1.05034,1.05163,18244
2024-12-12T08:00:00Z,1.05162,1.05207,1.04942,1.05025,30998
2024-12-12T12:00:00Z,1.05025,1.05209,1.04637,1.04728,100979
2024-12-12T16:00:00Z,1.04727,1.05174,1.04718,1.04726,68606
2024-12-12T20:00:00Z,1.04725,1.04746,1.04641,1.04736,15201
2024-12-13T00:00:00Z,1.04736,1.04808,1.04595,1.04602,21752
2024-12-13T04:00:00Z,1.04602,1.04661,1.04531,1.04592,15608
2024-12-13T08:00:00Z,1.04592,1.04958,1.04562,1.04887,41606
2024-12-13T12:00:00Z,1.04887,1.05241,1.04822,1.04890,49016
2024-12-13T16:00:00Z,1.04890,1.05060,1.04868,1.04946,40981
2024-12-13T20:00:00Z,1.04949,1.05045,1.04927,1.05017,8499
2024-12-15T20:00:00Z,1.04854,1.05107,1.04847,1.05096,8104
2024-12-16T00:00:00Z,1.05095,1.05228,1.05091,1.05117,30064
2024-12-16T04:00:00Z,1.05119,1.05214,1.05043,1.05048,29029
2024-12-16T08:00:00Z,1.05048,1.05247,1.04833,1.04906,54292
2024-12-16T12:00:00Z,1.04906,1.05127,1.04745,1.05065,53301
2024-12-16T16:00:00Z,1.05066,1.05226,1.04951,1.05099,31670
2024-12-16T20:00:00Z,1.05099,1.05185,1.05066,1.05170,7578
2024-12-17T00:00:00Z,1.05170,1.05343,1.05113,1.05122,14445
2024-12-17T04:00:00Z,1.05123,1.05125,1.04956,1.04975,16298
2024-12-17T08:00:00Z,1.04974,1.05003,1.04790,1.04913,41805
2024-12-17T12:00:00Z,1.04913,1.05115,1.04882,1.04989,43054
2024-12-17T16:00:00Z,1.04989,1.05159,1.04879,1.04883,26773
2024-12-17T20:00:00Z,1.04883,1.04952,1.04851,1.04944,6600
2024-12-18T00:00:00Z,1.04943,1.05037,1.04928,1.04990,11601
2024-12-18T04:00:00Z,1.04989,1.05127,1.04935,1.04968,13964
2024-12-18T08:00:00Z,1.04967,1.05034,1.04874,1.04966,23608
2024-12-18T12:00:00Z,1.04966,1.05032,1.04700,1.04738,48869
2024-12-18T16:00:00Z,1.04738,1.04924,1.03732,1.03774,58603
2024-12-18T20:00:00Z,1.03774,1.03803,1.03439,1.03506,38441
2024-12-19T00:00:00Z,1.03506,1.03909,1.03504,1.03782,22145
2024-12-19T04:00:00Z,1.03781,1.04094,1.03749,1.03949,24736
2024-12-19T08:00:00Z,1.03949,1.04222,1.03904,1.04034,52980
2024-12-19T12:00:00Z,1.04035,1.04139,1.03767,1.03799,90983
2024-12-19T16:00:00Z,1.03798,1.03843,1.03545,1.03613,66985
2024-12-19T20:00:00Z,1.03614,1.03691,1.03586,1.03643,13795
2024-12-20T00:00:00Z,1.03644,1.03692,1.03587,1.03618,14657
2024-12-20T04:00:00Z,1.03619,1.03853,1.03429,1.03828,22940
2024-12-20T08:00:00Z,1.03828,1.03983,1.03759,1.03915,51035
2024-12-20T12:00:00Z,1.03916,1.04190,1.03860,1.03967,90121
2024-12-20T16:00:00Z,1.03967,1.04474,1.03959,1.04447,80085
2024-12-20T20:00:00Z,1.04446,1.04471,1.04219,1.04254,16531
2024-12-22T20:00:00Z,1.04308,1.04451,1.04279,1.04336,7544
2024-12-23T00:00:00Z,1.04335,1.04431,1.04268,1.04392,13969
2024-12-23T04:00:00Z,1.04391,1.04452,1.04112,1.04127,27432
2024-12-23T08:00:00Z,1.04126,1.04195,1.03867,1.03999,50180
2024-12-23T12:00:00Z,1.03999,1.04084,1.03842,1.03908,78658
2024-12-23T16:00:00Z,1.03908,1.04179,1.03893,1.04114,32011
2024-12-23T20:00:00Z,1.04113,1.04141,1.04030,1.04040,7926
2024-12-24T00:00:00Z,1.04041,1.04086,1.03887,1.03908,7951
2024-12-24T04:00:00Z,1.03909,1.03985,1.03903,1.03904,17331
2024-12-24T08:00:00Z,1.03906,1.04055,1.03891,1.03947,36258
2024-12-24T12:00:00Z,1.03949,1.04098,1.03890,1.03917,48364
2024-12-24T16:00:00Z,1.03916,1.03977,1.03835,1.03930,26684
2024-12-24T20:00:00Z,1.03934,1.04031,1.03860,1.03952,8766
2024-12-25T00:00:00Z,1.03952,1.04106,1.03952,1.04050,379
2024-12-25T04:00:00Z,1.04051,1.04083,1.03970,1.04004,589
2024-12-25T20:00:00Z,1.04012,1.04055,1.03951,1.03991,4921
2024-12-26T00:00:00Z,1.03990,1.04042,1.03930,1.04009,12138
2024-12-26T04:00:00Z,1.04007,1.04027,1.03905,1.03976,14991
2024-12-26T08:00:00Z,1.03975,1.04030,1.03914,1.04012,15896
2024-12-26T12:00:00Z,1.04011,1.04151,1.03926,1.04089,47599
2024-12-26T16:00:00Z,1.04089,1.04301,1.04063,1.04175,36101
