2026-05-12 19:56:23 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:56:56 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:57:27 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:57:28 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:58:01 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:58:33 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 19:59:46 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 20:00:18 | INFO     | ayumi.pid_guard | PID file /home/TacoPants/projects/Ayumi/data/forward_test.pid removed
2026-05-12 20:00:50 | INFO     | ayumi.pid_guard | PID 804289 written to /home/TacoPants/projects/Ayumi/data/forward_test.pid
2026-05-12 20:00:50 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-05-12 20:00:50 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-05-12 20:00:53 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-05-12 20:00:53 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-05-12 20:00:55 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-05-12 20:00:55 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-05-12 20:00:57 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-05-12 20:00:57 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-05-12 20:00:59 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-05-12 20:00:59 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
