2026-04-28 11:23:39 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-28 11:23:42 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars (symbol_id=2) from OpenAPI...
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | Twisted reactor stopped cleanly
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | Fetched 99 bars
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | Registered 3 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout']
2026-04-28 11:23:44 | WARNING  | ayumi.risk | No state file at data/risk_state_blend.json — starting fresh
2026-04-28 11:23:44 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | Preloaded 99 H1 bars into engine._bars['GBPUSD']
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-04-28 11:23:44 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum → Correlation Gate → Blend Runner → Paper
2026-04-28 11:23:44 | INFO     | ayumi.forward_test | Market data feed connected for GBPUSD
2026-04-28 11:23:44 | INFO     | ayumi.forward_test | Forward test started: symbol=GBPUSD strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout'] mode=PAPER eval_interval=1.0s bar_period=60m
2026-04-28 11:25:15 | INFO     | ayumi.forward_test | Shutdown signal received (sig=15)
2026-04-28 11:25:15 | INFO     | ayumi.forward_test | Forward test stopped: balance=10000.00 trades=0 pnl=0.00 errors=0 reconnects=0
2026-04-28 11:25:48 | INFO     | ayumi.forward_test | Shutdown signal received (sig=15)
2026-04-28 11:26:25 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-04-28 11:26:28 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars (symbol_id=2) from OpenAPI...
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | Twisted reactor stopped cleanly
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | Fetched 99 bars
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | Registered 3 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout']
2026-04-28 11:26:30 | WARNING  | ayumi.risk | No state file at data/risk_state_blend.json — starting fresh
2026-04-28 11:26:30 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | Preloaded 99 H1 bars into engine._bars['GBPUSD']
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-04-28 11:26:30 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum → Correlation Gate → Blend Runner → Paper
2026-04-28 11:26:30 | INFO     | ayumi.forward_test | Market data feed connected for GBPUSD
2026-04-28 11:26:30 | INFO     | ayumi.forward_test | Forward test started: symbol=GBPUSD strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout'] mode=PAPER eval_interval=1.0s bar_period=60m
2026-04-28 11:28:35 | INFO     | ayumi.forward_test | Shutdown signal received (sig=15)
2026-04-28 11:28:35 | INFO     | ayumi.forward_test | Forward test stopped: balance=10000.00 trades=0 pnl=0.00 errors=0 reconnects=0
