2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_signal_processing0/risk_state.json — starting fresh
2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-24 20:50:04 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-377/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_signal_processing0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-24 20:50:14 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-378/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-24 20:50:19 | WARNING  | ayumi.risk | No state file at /tmp/tmpuesna0ze/x — starting fresh
2026-04-24 20:50:24 | WARNING  | ayumi.risk | No state file at /tmp/tmpx6491izx/risk_state.json — starting fresh
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Adapted signal: strategy=ema_cross symbol=EURUSD dir=LONG conf=0.85
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal received: strategy=ema_cross symbol=EURUSD direction=LONG confidence=0.850
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Routing: strategy=ema_cross symbol=EURUSD → profile=Profile.SNIPER
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal accepted: strategy=ema_cross symbol=EURUSD lots=0.1000 risk=$50.00 sl=50.0pips
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Order accepted: EURUSD LONG 0.1000 lots risk=$50.00
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Fill: EURUSD pnl=$-25.00 balance=$9975.00
2026-04-24 20:50:24 | INFO     | ayumi.risk | Saved risk state to /tmp/tmpx6491izx/risk_state.json
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Adapted signal: strategy=ema_cross symbol=EURUSD dir=LONG conf=0.85
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal received: strategy=ema_cross symbol=EURUSD direction=LONG confidence=0.850
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Routing: strategy=ema_cross symbol=EURUSD → profile=Profile.SNIPER
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal accepted: strategy=ema_cross symbol=EURUSD lots=0.1000 risk=$49.88 sl=50.0pips
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Order accepted: EURUSD LONG 0.1000 lots risk=$49.88
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Fill: EURUSD pnl=$-25.00 balance=$9950.00
2026-04-24 20:50:24 | INFO     | ayumi.risk | Saved risk state to /tmp/tmpx6491izx/risk_state.json
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Adapted signal: strategy=ema_cross symbol=EURUSD dir=LONG conf=0.85
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal received: strategy=ema_cross symbol=EURUSD direction=LONG confidence=0.850
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Routing: strategy=ema_cross symbol=EURUSD → profile=Profile.SNIPER
2026-04-24 20:50:24 | INFO     | ayumi.orchestrator | Signal accepted: strategy=ema_cross symbol=EURUSD lots=0.1000 risk=$49.75 sl=50.0pips
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Order accepted: EURUSD LONG 0.1000 lots risk=$49.75
2026-04-24 20:50:24 | INFO     | ayumi.forward_test | Fill: EURUSD pnl=$50.00 balance=$10000.00
2026-04-24 20:50:24 | INFO     | ayumi.risk | Saved risk state to /tmp/tmpx6491izx/risk_state.json
2026-04-24 20:50:29 | WARNING  | ayumi.risk | No state file at /tmp/tmpl9ptly0k/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_signal_processing0/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-24 20:50:37 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-379/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_start_restores_no_state0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_signal_processing0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_multiple_signals_in_seque0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_fill_handling_updates_bal0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_state_save_on_stop0/risk_state.json — starting fresh
2026-04-24 20:51:00 | WARNING  | ayumi.risk | No state file at /tmp/pytest-of-root/pytest-380/test_state_restore_on_start0/risk_state.json — starting fresh
2026-04-24 20:51:22 | WARNING  | ayumi.orchestrator | Signal REJECTED by routing: strategy=test_strat symbol=EURUSD score=0.200
2026-04-24 20:51:22 | WARNING  | ayumi.orchestrator | Signal REJECTED by routing: strategy=test_strat symbol=EURUSD score=0.390
2026-04-24 20:51:22 | WARNING  | ayumi.orchestrator | Signal REJECTED by sizing: strategy=test_strat symbol=EURUSD reason=SL distance 1.0 pips < minimum 5.0 pips
2026-04-24 20:51:22 | WARNING  | ayumi.orchestrator | Signal REJECTED by sizing: strategy=test_strat symbol=EURUSD reason=Trade risk $50.00 exceeds daily remaining $0.00
2026-04-24 20:51:22 | WARNING  | ayumi.orchestrator | Signal REJECTED by sizing: strategy=test_strat symbol=EURUSD reason=Trading halted until 2026-04-25T20:51:22.162409+00:00: test breaker
