2026-05-19 01:27:26 | INFO     | ayumi.forward_test | Preloaded 54 bars into key 'GBPUSD:60'
2026-05-19 01:27:26 | INFO     | ayumi.forward_test | Preloaded 54 bars for GBPUSD 60m
2026-05-19 01:27:27 | INFO     | ayumi.openapi_spot_feed | Fetched 54 trendbars for GBPUSD 15m
2026-05-19 01:27:27 | INFO     | ayumi.forward_test | Preloaded 54 bars into key 'GBPUSD:15'
2026-05-19 01:27:27 | INFO     | ayumi.forward_test | Preloaded 54 bars for GBPUSD 15m
2026-05-19 01:27:28 | INFO     | ayumi.openapi_spot_feed | Fetched 54 trendbars for USDJPY 60m
2026-05-19 01:27:28 | INFO     | ayumi.forward_test | Preloaded 54 bars into key 'USDJPY:60'
2026-05-19 01:27:28 | INFO     | ayumi.forward_test | Preloaded 54 bars for USDJPY 60m
2026-05-19 01:27:29 | INFO     | ayumi.openapi_spot_feed | Fetched 54 trendbars for USDJPY 15m
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | Preloaded 54 bars into key 'USDJPY:15'
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | Preloaded 54 bars for USDJPY 15m
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | Bar preloading complete
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | Forward test started: symbols=['GBPUSD', 'USDJPY'] strategies=['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion', 'Session Breakout London', 'Session Breakout NY', 'Session Breakout Asian'] mode=LIVE eval_interval=1.0s bar_period=60m
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Strategy list: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion', 'Session Breakout London', 'Session Breakout NY', 'Session Breakout Asian']
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Symbols: ['GBPUSD', 'USDJPY']
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Bar period: 60m
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Min confidence: 0.50
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Min bars for evaluation: 55
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Strategy timeframes: {'SRMR+': 60, 'Killzone Momentum': 15, 'Donchian Channel Breakout': 15, 'Session-Range Mean Reversion': 60, 'BB+RSI Mean Reversion': 60, 'Session Breakout London': 15, 'Session Breakout NY': 15, 'Session Breakout Asian': 15}
2026-05-19 01:27:29 | INFO     | ayumi.forward_test | [B5 Startup] Required timeframes: [15, 60]
2026-05-19 01:27:30 | ERROR    | ayumi.openapi_spot_feed | Send-and-wait failed: [Failure instance: Traceback: <class 'twisted.internet.defer.TimeoutError'>: (10, 'Deferred')
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:798:timeItOut
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:957:cancel
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:916:errback
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:984:_startRunCallbacks
--- <exception caught here> ---
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:1078:_runCallbacks
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:809:convertCancelled
/home/TacoPants/projects/Ayumi/.venv/lib/python3.12/site-packages/twisted/internet/defer.py:293:_cancelledToTimedOutError
]
2026-05-19 01:27:30 | ERROR    | ayumi.openapi_spot_feed | Reconnect restore: application auth failed
2026-05-19 01:28:12 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 3511986). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-19 01:28:29 | INFO     | ayumi.forward_test | [B5 Periodic] ticks=64 bars_built=4 signals=0 traded=0 eval_errors=0
2026-05-19 01:28:29 | INFO     | ayumi.blend_launcher | [B5 Health] ticks=64 tps=1.01 bars=4 signals=0 trades=0 balance=10000.00 uptime=60s
2026-05-19 01:29:29 | INFO     | ayumi.forward_test | [B5 Periodic] ticks=127 bars_built=4 signals=0 traded=0 eval_errors=0
2026-05-19 01:29:29 | INFO     | ayumi.blend_launcher | [B5 Health] ticks=128 tps=0.85 bars=4 signals=0 trades=0 balance=10000.00 uptime=120s
2026-05-19 01:30:29 | INFO     | ayumi.forward_test | [B5 Periodic] ticks=217 bars_built=4 signals=0 traded=0 eval_errors=0
2026-05-19 01:30:29 | INFO     | ayumi.blend_launcher | [B5 Health] ticks=217 tps=2.23 bars=4 signals=0 trades=0 balance=10000.00 uptime=180s
