2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Registered 5 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion']
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-04-30 12:33:35 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-04-30 12:33:35 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-04-30 12:33:35 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'GBPUSD:60'
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Preloaded 99 H1 bars for GBPUSD
2026-04-30 12:33:35 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'GBPUSD:15'
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Preloaded 199 M15 bars for GBPUSD
2026-04-30 12:33:35 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'USDJPY:60'
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Preloaded 99 H1 bars for USDJPY
2026-04-30 12:33:35 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'USDJPY:15'
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Preloaded 199 M15 bars for USDJPY
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-04-30 12:33:35 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum + SessionRangeMR → Correlation Gate → Blend Runner → Paper
2026-04-30 12:33:35 | INFO     | ayumi.openapi_spot_feed | Connected to demo.ctraderapi.com:5035
2026-04-30 12:33:36 | INFO     | ayumi.openapi_spot_feed | Application authenticated
2026-04-30 12:33:37 | INFO     | ayumi.openapi_spot_feed | Account authenticated
2026-04-30 12:33:37 | INFO     | ayumi.openapi_spot_feed | Requesting symbol list for account 46877902
2026-04-30 12:33:38 | INFO     | ayumi.openapi_spot_feed | Loaded 830 symbol name mappings from API
2026-04-30 12:33:39 | INFO     | ayumi.openapi_spot_feed | Fetched symbol details: id=2 digits=5
2026-04-30 12:33:39 | INFO     | ayumi.openapi_spot_feed | Subscribed to spot events for symbol_id=2
2026-04-30 12:33:40 | INFO     | ayumi.openapi_spot_feed | Fetched symbol details: id=4 digits=3
2026-04-30 12:33:40 | INFO     | ayumi.openapi_spot_feed | Subscribed to spot events for symbol_id=4
2026-04-30 12:33:40 | INFO     | ayumi.openapi_spot_feed | OpenApiSpotFeed started: account=46877902 symbols_loaded=2
2026-04-30 12:33:40 | INFO     | ayumi.forward_test | Open API spot feed connected for ['GBPUSD', 'USDJPY']
