2026-05-13 12:07:39 | INFO     | ayumi.pid_guard | PID 1141 written to /home/TacoPants/projects/Ayumi/data/forward_test.pid
2026-05-13 12:07:39 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-05-13 12:07:39 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-05-13 12:07:51 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-05-13 12:07:51 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-05-13 12:44:29 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:45:01 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:45:33 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:46:06 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:46:38 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:47:10 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:47:43 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:48:15 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:48:47 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:49:20 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:49:52 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:50:24 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:50:56 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:51:29 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:52:01 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:52:33 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:53:06 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:53:38 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:54:11 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:54:43 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:55:15 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:55:48 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:56:20 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:56:54 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:57:27 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:57:59 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:58:31 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:59:04 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 12:59:36 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:00:09 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:00:41 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:01:13 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:01:46 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:02:18 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:02:51 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:03:23 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:03:55 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
2026-05-13 13:04:28 | ERROR    | ayumi.pid_guard | Another forward test process is running (PID 1141). Refusing to start. Kill it first or remove /home/TacoPants/projects/Ayumi/data/forward_test.pid.
