2026-05-18 10:16:28 | INFO     | ayumi.pid_guard | PID 3297626 written to /home/TacoPants/projects/Ayumi/data/forward_test.pid
2026-05-18 10:16:28 | INFO     | ayumi.blend_launcher | === Ayumi Multi-Strategy Forward Test (Blend Pipeline) ===
2026-05-18 10:16:28 | INFO     | ayumi.blend_launcher | Symbols: ['GBPUSD', 'USDJPY']
2026-05-18 10:16:30 | WARNING  | ayumi.blend_launcher | Could not fetch symbol list from OpenAPI: 'CTraderOpenApiClient' object has no attribute 'get_symbols' — using static mapping
2026-05-18 10:16:30 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for GBPUSD (id=2)...
2026-05-18 10:16:32 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for GBPUSD
2026-05-18 10:16:32 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for GBPUSD (id=2)...
2026-05-18 10:16:34 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for GBPUSD
2026-05-18 10:16:34 | INFO     | ayumi.blend_launcher | Fetching 100 H1 bars for USDJPY (id=4)...
2026-05-18 10:16:36 | INFO     | ayumi.blend_launcher | Fetched 99 H1 bars for USDJPY
2026-05-18 10:16:36 | INFO     | ayumi.blend_launcher | Fetching 200 M15 bars for USDJPY (id=4)...
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Fetched 199 M15 bars for USDJPY
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Registered 8 strategies: ['SRMR+', 'Killzone Momentum', 'Donchian Channel Breakout', 'Session-Range Mean Reversion', 'BB+RSI Mean Reversion', 'Session Breakout London', 'Session Breakout NY', 'Session Breakout Asian']
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | All strategy .name properties verified against maps
2026-05-18 10:16:38 | INFO     | ayumi.risk | Restored risk state from data/risk_state_blend.json
2026-05-18 10:16:38 | INFO     | ayumi.forward_test | BlendForwardTestRunner started — balance=$10000.00
2026-05-18 10:16:38 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'GBPUSD:60'
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for GBPUSD into engine
2026-05-18 10:16:38 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'GBPUSD:15'
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for GBPUSD into engine
2026-05-18 10:16:38 | INFO     | ayumi.forward_test | Preloaded 99 bars into key 'USDJPY:60'
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Preloaded 99 60min bars for USDJPY into engine
2026-05-18 10:16:38 | INFO     | ayumi.forward_test | Preloaded 199 bars into key 'USDJPY:15'
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Preloaded 199 15min bars for USDJPY into engine
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | === STARTING MULTI-STRATEGY FORWARD TEST ===
2026-05-18 10:16:38 | INFO     | ayumi.blend_launcher | Pipeline: SRMR+ + Killzone + Momentum + SessionRangeMR → Correlation Gate → Blend Runner → Paper
