Date,Open,High,Low,Close,Volume
2023-01-01 00:00,130.925,131.041,130.716,130.914,0
2023-01-02 00:00,130.911,131.403,129.507,129.592,0
2023-01-03 00:00,129.592,131.466,129.55,130.827,0
2023-01-04 00:00,130.827,132.715,129.923,132.307,0
2023-01-05 00:00,132.307,134.053,132.243,133.912,0
2023-01-06 00:00,133.911,134.773,131.993,132.03,0
2023-01-08 00:00,131.899,132.285,131.304,131.699,0
2023-01-09 00:00,131.699,132.653,131.38,131.984,0
2023-01-10 00:00,131.984,132.578,131.661,132.271,0
2023-01-11 00:00,132.27,132.871,131.38,131.444,0
2023-01-12 00:00,131.443,131.898,128.63,129.21,0
2023-01-13 00:00,129.211,129.302,127.454,127.853,0
2023-01-15 00:00,127.749,128.195,127.218,127.667,0
2023-01-16 00:00,127.667,129.155,127.572,128.665,0
2023-01-17 00:00,128.664,131.572,127.986,131.336,0
2023-01-18 00:00,131.336,131.536,127.561,128.027,0
2023-01-19 00:00,128.027,129.094,127.757,129.047,0
2023-01-20 00:00,129.051,130.611,128.726,129.464,0
2023-01-22 00:00,129.459,129.745,129.038,129.588,0
2023-01-23 00:00,129.588,130.885,129.548,130.285,0
2023-01-24 00:00,130.284,131.116,129.723,130.443,0
2023-01-25 00:00,130.444,130.581,129.02,129.238,0
2023-01-26 00:00,129.238,130.618,129.197,130.02,0
2023-01-27 00:00,130.02,130.265,129.557,129.801,0
2023-01-29 00:00,129.685,130.289,129.2,129.477,0
2023-01-30 00:00,129.477,130.567,129.401,130.314,0
2023-01-31 00:00,130.313,130.494,129.743,130.25,0
2023-02-01 00:00,130.251,130.408,128.173,128.445,0
2023-02-02 00:00,128.444,129.133,128.08,128.529,0
2023-02-03 00:00,128.528,131.202,128.327,131.156,0
2023-02-05 00:00,132.471,132.476,131.508,131.678,0
2023-02-06 00:00,131.679,132.9,131.579,132.263,0
2023-02-07 00:00,132.262,132.341,130.472,131.146,0
2023-02-08 00:00,131.147,131.824,130.591,131.422,0
2023-02-09 00:00,131.42,131.885,130.339,131.715,0
2023-02-10 00:00,131.715,131.807,129.801,131.347,0
2023-02-12 00:00,131.238,132.174,131.207,132.134,0
2023-02-13 00:00,132.134,132.907,131.909,131.964,0
2023-02-14 00:00,131.961,133.314,131.499,133.095,0
2023-02-15 00:00,133.095,134.357,132.962,133.84,0
2023-02-16 00:00,133.839,134.807,133.602,134.662,0
2023-02-17 00:00,134.661,135.116,134.052,134.092,0
2023-02-19 00:00,134.198,134.538,133.949,134.061,0
2023-02-20 00:00,134.06,134.493,133.92,134.325,0
2023-02-21 00:00,134.326,135.171,134.304,134.903,0
2023-02-22 00:00,134.902,134.995,134.391,134.754,0
2023-02-23 00:00,134.755,135.302,134.054,134.66,0
2023-02-24 00:00,134.661,136.503,134.509,136.402,0
2023-02-26 00:00,136.423,136.554,136.0,136.306,0
2023-02-27 00:00,136.307,136.443,135.914,136.237,0
2023-02-28 00:00,136.238,136.917,135.781,136.384,0
2023-03-01 00:00,136.385,136.481,135.394,136.438,0
2023-03-02 00:00,136.438,137.1,136.233,136.703,0
2023-03-03 00:00,136.702,136.71,135.794,135.831,0
2023-03-05 00:00,135.971,136.048,135.364,135.65,0
2023-03-06 00:00,135.649,136.175,135.527,136.024,0
2023-03-07 00:00,136.025,137.91,135.537,137.83,0
2023-03-08 00:00,137.831,137.89,136.477,136.792,0
2023-03-09 00:00,136.792,136.968,135.809,136.573,0
2023-03-10 00:00,136.573,136.992,134.285,134.858,0
2023-03-12 00:00,134.542,134.968,133.525,134.149,0
2023-03-13 00:00,134.148,134.694,132.282,133.858,0
2023-03-14 00:00,133.859,134.901,133.185,134.52,0
2023-03-15 00:00,134.523,135.112,132.403,132.773,0
2023-03-16 00:00,132.774,133.792,131.715,133.053,0
