Date,Open,High,Low,Close,Volume
2023-01-01 17:00,130.925,130.962,130.743,130.759,0
2023-01-01 18:00,130.771,130.886,130.716,130.87,0
2023-01-01 19:00,130.886,131.041,130.788,130.821,0
2023-01-01 20:00,130.822,130.932,130.785,130.919,0
2023-01-01 21:00,130.894,130.999,130.894,130.963,0
2023-01-01 22:00,130.963,130.989,130.879,130.895,0
2023-01-01 23:00,130.896,130.93,130.879,130.914,0
2023-01-02 00:00,130.911,130.957,130.886,130.916,0
2023-01-02 01:00,130.92,130.985,130.898,130.939,0
2023-01-02 02:00,130.939,130.973,130.904,130.935,0
2023-01-02 03:00,130.939,130.957,130.908,130.926,0
2023-01-02 04:00,130.926,130.954,130.852,130.867,0
2023-01-02 05:00,130.866,130.873,130.752,130.782,0
2023-01-02 06:00,130.778,130.878,130.761,130.766,0
2023-01-02 07:00,130.766,130.796,130.702,130.727,0
2023-01-02 08:00,130.73,130.747,130.617,130.642,0
2023-01-02 09:00,130.642,130.771,130.633,130.707,0
2023-01-02 10:00,130.705,130.831,130.697,130.774,0
2023-01-02 11:00,130.774,130.843,130.668,130.743,0
2023-01-02 12:00,130.745,130.81,130.725,130.767,0
2023-01-02 13:00,130.771,130.789,130.741,130.769,0
2023-01-02 14:00,130.769,130.772,130.724,130.726,0
2023-01-02 15:00,130.726,130.73,130.696,130.697,0
2023-01-02 16:00,130.697,130.746,130.598,130.608,0
2023-01-02 17:00,130.641,130.725,130.631,130.699,0
2023-01-02 18:00,130.699,131.403,130.535,130.79,0
2023-01-02 19:00,130.789,130.903,130.57,130.606,0
2023-01-02 20:00,130.612,130.714,129.807,130.148,0
2023-01-02 21:00,130.15,130.305,129.78,129.92,0
2023-01-02 22:00,129.922,129.982,129.678,129.782,0
2023-01-02 23:00,129.781,129.799,129.507,129.592,0
2023-01-03 00:00,129.592,129.952,129.55,129.813,0
2023-01-03 01:00,129.812,130.058,129.613,129.841,0
2023-01-03 02:00,129.84,130.248,129.779,130.107,0
2023-01-03 03:00,130.107,130.956,130.095,130.78,0
2023-01-03 04:00,130.779,130.802,130.309,130.416,0
2023-01-03 05:00,130.413,130.732,130.361,130.689,0
2023-01-03 06:00,130.688,130.885,130.625,130.874,0
2023-01-03 07:00,130.874,131.198,130.829,130.974,0
2023-01-03 08:00,130.975,131.002,130.588,130.654,0
2023-01-03 09:00,130.654,130.793,130.055,130.185,0
2023-01-03 10:00,130.185,130.932,130.183,130.739,0
2023-01-03 11:00,130.741,131.107,130.621,130.832,0
2023-01-03 12:00,130.833,130.882,130.722,130.792,0
2023-01-03 13:00,130.789,130.812,130.6,130.621,0
2023-01-03 14:00,130.62,130.789,130.572,130.777,0
2023-01-03 15:00,130.778,130.963,130.749,130.959,0
2023-01-03 16:00,130.962,131.036,130.885,131.007,0
2023-01-03 17:00,130.991,131.029,130.953,130.974,0
2023-01-03 18:00,130.987,131.466,130.969,131.293,0
2023-01-03 19:00,131.296,131.304,130.819,131.014,0
2023-01-03 20:00,131.014,131.216,130.577,130.642,0
2023-01-03 21:00,130.644,130.934,130.628,130.815,0
2023-01-03 22:00,130.815,130.857,130.615,130.646,0
2023-01-03 23:00,130.643,130.95,130.64,130.827,0
2023-01-04 00:00,130.827,130.995,130.75,130.848,0
2023-01-04 01:00,130.848,130.877,130.68,130.729,0
2023-01-04 02:00,130.729,130.754,130.113,130.245,0
2023-01-04 03:00,130.249,130.529,129.923,130.503,0
2023-01-04 04:00,130.504,130.628,130.272,130.418,0
2023-01-04 05:00,130.418,130.568,130.418,130.426,0
2023-01-04 06:00,130.429,130.592,130.276,130.53,0
2023-01-04 07:00,130.531,130.976,130.515,130.833,0
2023-01-04 08:00,130.832,130.922,130.581,130.708,0
2023-01-04 09:00,130.706,131.126,130.697,131.006,0
2023-01-04 10:00,131.005,132.086,130.966,132.012,0
2023-01-04 11:00,132.011,132.19,131.937,132.002,0
2023-01-04 12:00,132.003,132.712,131.996,132.55,0
2023-01-04 13:00,132.548,132.595,132.384,132.475,0
2023-01-04 14:00,132.476,132.715,132.427,132.61,0
2023-01-04 15:00,132.611,132.691,132.485,132.681,0
2023-01-04 16:00,132.682,132.714,132.611,132.611,0
2023-01-04 17:00,132.611,132.611,132.367,132.367,0
2023-01-04 18:00,132.368,132.458,132.062,132.249,0
2023-01-04 19:00,132.243,132.314,131.811,131.878,0
2023-01-04 20:00,131.879,132.01,131.681,131.969,0
2023-01-04 21:00,131.971,132.197,131.922,131.979,0
2023-01-04 22:00,131.979,132.383,131.934,132.343,0
2023-01-04 23:00,132.344,132.425,132.191,132.307,0
2023-01-05 00:00,132.307,132.623,132.295,132.481,0
2023-01-05 01:00,132.485,132.572,132.243,132.436,0
2023-01-05 02:00,132.435,132.612,132.265,132.482,0
2023-01-05 03:00,132.482,132.901,132.429,132.588,0
2023-01-05 04:00,132.589,132.695,132.422,132.531,0
2023-01-05 05:00,132.532,132.634,132.38,132.479,0
2023-01-05 06:00,132.479,132.597,132.321,132.451,0
2023-01-05 07:00,132.452,132.765,132.389,132.76,0
2023-01-05 08:00,132.761,133.72,132.736,133.685,0
2023-01-05 09:00,133.684,133.786,133.467,133.742,0
2023-01-05 10:00,133.741,134.053,133.599,133.869,0
2023-01-05 11:00,133.869,133.913,133.47,133.575,0
