Date,Open,High,Low,Close,Volume
2023-01-01 18:00,157.928,158.152,157.928,158.152,0
2023-01-01 19:00,158.187,158.449,157.949,158.122,0
2023-01-01 20:00,158.121,158.248,158.046,158.102,0
2023-01-01 21:00,158.207,158.207,157.977,158.076,0
2023-01-01 22:00,158.056,158.08,157.926,157.965,0
2023-01-01 23:00,157.976,158.077,157.882,158.021,0
2023-01-02 00:00,157.941,158.057,157.867,158.006,0
2023-01-02 01:00,158.006,158.067,157.847,158.046,0
2023-01-02 02:00,158.046,158.077,157.9,157.915,0
2023-01-02 03:00,157.931,158.111,157.676,157.703,0
2023-01-02 04:00,157.703,157.861,157.589,157.615,0
2023-01-02 05:00,157.615,157.669,157.516,157.608,0
2023-01-02 06:00,157.606,157.726,157.578,157.585,0
2023-01-02 07:00,157.584,157.626,157.505,157.542,0
2023-01-02 08:00,157.549,157.57,157.4,157.432,0
2023-01-02 09:00,157.426,157.62,157.42,157.503,0
2023-01-02 10:00,157.503,157.648,157.476,157.492,0
2023-01-02 11:00,157.492,157.583,157.339,157.493,0
2023-01-02 12:00,157.499,157.572,157.472,157.529,0
2023-01-02 13:00,157.543,157.55,157.477,157.513,0
2023-01-02 14:00,157.509,157.567,157.446,157.457,0
2023-01-02 15:00,157.452,157.486,157.381,157.42,0
2023-01-02 16:00,157.386,157.455,157.265,157.279,0
2023-01-02 17:00,157.322,157.457,157.319,157.421,0
2023-01-02 18:00,157.42,158.38,157.386,157.766,0
2023-01-02 19:00,157.766,157.898,157.424,157.429,0
2023-01-02 20:00,157.432,157.445,156.368,156.835,0
2023-01-02 21:00,156.835,157.097,156.702,156.923,0
2023-01-02 22:00,156.924,157.002,156.635,156.689,0
2023-01-02 23:00,156.687,156.704,156.438,156.446,0
2023-01-03 00:00,156.448,156.82,156.42,156.672,0
2023-01-03 01:00,156.672,156.82,156.434,156.622,0
2023-01-03 02:00,156.621,156.927,156.449,156.49,0
2023-01-03 03:00,156.494,156.598,155.722,155.781,0
2023-01-03 04:00,155.778,155.833,155.342,155.494,0
2023-01-03 05:00,155.495,155.785,155.392,155.629,0
2023-01-03 06:00,155.63,156.202,155.592,156.144,0
2023-01-03 07:00,156.143,156.73,156.116,156.581,0
2023-01-03 08:00,156.582,156.873,156.39,156.687,0
2023-01-03 09:00,156.692,157.083,156.538,156.602,0
2023-01-03 10:00,156.598,157.319,156.596,157.0,0
2023-01-03 11:00,157.0,157.065,156.491,156.582,0
2023-01-03 12:00,156.579,156.664,156.367,156.477,0
2023-01-03 13:00,156.477,156.597,156.4,156.469,0
2023-01-03 14:00,156.476,156.726,156.414,156.719,0
2023-01-03 15:00,156.719,156.852,156.712,156.793,0
2023-01-03 16:00,156.793,156.838,156.649,156.74,0
2023-01-03 17:00,156.703,156.758,156.662,156.709,0
2023-01-03 18:00,156.694,157.254,156.66,157.102,0
2023-01-03 19:00,157.103,157.234,156.796,157.074,0
2023-01-03 20:00,157.074,157.248,156.61,156.684,0
2023-01-03 21:00,156.684,156.929,156.675,156.772,0
2023-01-03 22:00,156.774,156.867,156.577,156.623,0
