Date,Open,High,Low,Close,Volume
2023-01-01 00:00,157.928,158.449,157.882,158.021,0
2023-01-02 00:00,157.941,158.38,156.368,156.446,0
2023-01-03 00:00,156.448,157.319,155.342,156.881,0
2023-01-04 00:00,156.882,160.17,156.495,159.266,0
2023-01-05 00:00,159.27,160.023,158.497,159.666,0
2023-01-06 00:00,159.67,160.013,158.887,159.75,0
2023-01-08 00:00,159.232,159.991,159.232,159.898,0
2023-01-09 00:00,159.897,161.225,159.874,160.487,0
2023-01-10 00:00,160.487,161.075,160.237,160.825,0
2023-01-11 00:00,160.824,161.202,159.885,159.924,0
2023-01-12 00:00,159.923,160.115,157.29,157.506,0
2023-01-13 00:00,157.508,157.562,155.635,156.34,0
2023-01-15 00:00,155.953,156.921,155.953,156.488,0
2023-01-16 00:00,156.489,157.234,156.349,156.891,0
2023-01-17 00:00,156.892,161.442,156.809,161.311,0
2023-01-18 00:00,161.309,161.52,157.765,157.872,0
2023-01-19 00:00,157.873,159.699,157.561,159.611,0
2023-01-20 00:00,159.612,161.28,159.184,160.508,0
2023-01-22 00:00,160.516,161.174,160.355,161.007,0
2023-01-23 00:00,161.006,161.801,160.753,161.336,0
2023-01-24 00:00,161.336,161.42,159.983,160.766,0
2023-01-25 00:00,160.768,160.858,159.5,160.249,0
2023-01-26 00:00,160.249,161.73,160.204,160.951,0
2023-01-27 00:00,160.95,161.059,160.402,160.937,0
2023-01-29 00:00,160.555,161.396,160.245,160.589,0
2023-01-30 00:00,160.587,161.412,160.197,160.833,0
2023-01-31 00:00,160.833,160.912,159.757,160.403,0
2023-02-01 00:00,160.404,160.664,158.876,159.142,0
2023-02-02 00:00,159.141,159.608,156.816,156.94,0
2023-02-03 00:00,156.939,158.741,156.721,158.106,0
2023-02-05 00:00,159.404,159.429,158.432,158.793,0
2023-02-06 00:00,158.794,159.942,158.71,159.246,0
2023-02-07 00:00,159.246,159.409,157.419,158.096,0
2023-02-08 00:00,158.095,159.001,157.922,158.836,0
2023-02-09 00:00,158.836,159.624,158.11,159.277,0
2023-02-10 00:00,159.276,159.412,157.521,158.39,0
2023-02-12 00:00,158.225,159.174,158.225,159.137,0
2023-02-13 00:00,159.137,161.189,159.094,160.321,0
2023-02-14 00:00,160.323,162.172,160.096,161.778,0
2023-02-15 00:00,161.778,161.858,160.75,161.242,0
2023-02-16 00:00,161.245,161.506,160.461,160.928,0
2023-02-17 00:00,160.931,161.639,160.734,161.536,0
2023-02-19 00:00,161.507,161.717,161.234,161.303,0
2023-02-20 00:00,161.303,161.737,161.16,161.558,0
2023-02-21 00:00,161.558,163.751,161.471,163.339,0
2023-02-22 00:00,163.341,163.359,162.262,162.537,0
2023-02-23 00:00,162.537,162.818,161.192,161.873,0
2023-02-24 00:00,161.87,163.114,161.72,162.95,0
2023-02-26 00:00,162.881,163.115,162.637,162.867,0
2023-02-27 00:00,162.866,164.504,162.601,164.126,0
2023-02-28 00:00,164.125,165.906,163.44,164.202,0
2023-03-01 00:00,164.204,164.501,162.996,163.778,0
2023-03-02 00:00,163.775,163.927,163.076,163.59,0
2023-03-03 00:00,163.59,163.639,163.094,163.589,0
2023-03-05 00:00,163.407,163.672,163.023,163.235,0
2023-03-06 00:00,163.237,163.841,162.972,163.835,0
2023-03-07 00:00,163.835,163.852,162.01,162.942,0
2023-03-08 00:00,162.943,162.976,161.698,162.15,0
2023-03-09 00:00,162.149,163.183,161.605,162.896,0
2023-03-10 00:00,162.895,164.229,162.081,162.396,0
2023-03-12 00:00,162.109,163.063,161.749,162.535,0
2023-03-13 00:00,162.534,163.043,160.033,162.706,0
2023-03-14 00:00,162.706,164.075,162.136,163.618,0
2023-03-15 00:00,163.617,164.133,159.752,160.365,0
2023-03-16 00:00,160.367,162.066,158.546,161.632,0
2023-03-17 00:00,161.635,162.178,160.105,160.628,0
2023-03-19 00:00,160.812,161.719,160.46,160.557,0
2023-03-20 00:00,160.557,161.589,158.951,160.829,0
2023-03-21 00:00,160.829,162.254,160.75,162.027,0
2023-03-22 00:00,162.028,163.333,160.684,161.076,0
2023-03-23 00:00,161.079,161.746,159.741,159.825,0
2023-03-24 00:00,159.825,160.19,158.254,159.852,0
2023-03-26 00:00,159.766,160.295,159.748,159.896,0
2023-03-27 00:00,159.896,161.841,159.798,160.843,0
2023-03-28 00:00,160.844,162.415,160.724,162.285,0
2023-03-29 00:00,162.289,163.678,162.19,163.228,0
2023-03-30 00:00,163.226,165.461,163.007,164.586,0
2023-03-31 00:00,164.588,165.246,163.619,163.672,0
2023-04-02 00:00,164.052,164.072,163.419,163.822,0
2023-04-03 00:00,163.826,164.859,163.753,164.789,0
2023-04-04 00:00,164.791,166.399,163.961,164.371,0
2023-04-05 00:00,164.371,164.558,162.766,163.232,0
2023-04-06 00:00,163.231,164.105,163.163,163.745,0
2023-04-09 00:00,163.986,164.755,163.783,164.659,0
2023-04-10 00:00,164.66,165.659,163.981,165.503,0
2023-04-11 00:00,165.506,166.572,165.292,166.398,0
2023-04-12 00:00,166.398,166.589,165.377,166.401,0
2023-04-13 00:00,166.401,166.784,165.395,166.049,0
2023-04-14 00:00,166.051,166.171,165.404,166.058,0
2023-04-16 00:00,165.961,166.208,165.815,166.179,0
2023-04-17 00:00,166.178,166.723,165.683,166.469,0
2023-04-18 00:00,166.469,167.007,166.398,166.782,0
2023-04-19 00:00,166.784,167.964,166.747,167.456,0
2023-04-20 00:00,167.456,167.598,166.459,166.471,0
2023-04-21 00:00,166.471,166.921,165.506,166.836,0
2023-04-23 00:00,166.681,167.219,166.59,167.073,0
2023-04-24 00:00,167.08,167.952,166.535,167.737,0
2023-04-25 00:00,167.737,167.778,165.418,165.757,0
2023-04-26 00:00,165.757,167.006,165.722,166.668,0
2023-04-27 00:00,166.669,167.613,166.367,167.025,0
2023-04-28 00:00,167.026,171.152,166.512,171.034,0
2023-04-30 00:00,171.154,172.09,171.016,172.031,0
2023-05-01 00:00,172.032,172.049,171.157,171.852,0
2023-05-02 00:00,171.851,172.324,169.749,169.983,0
2023-05-03 00:00,169.982,170.372,168.903,169.258,0
2023-05-04 00:00,169.263,169.427,168.052,168.992,0
2023-05-05 00:00,168.992,170.545,168.732,170.284,0
2023-05-07 00:00,170.316,170.739,170.289,170.542,0
2023-05-08 00:00,170.541,171.063,170.136,170.245,0
2023-05-09 00:00,170.246,170.879,169.849,170.694,0
2023-05-10 00:00,170.694,171.174,169.125,169.308,0
2023-05-11 00:00,169.311,169.731,167.834,168.468,0
2023-05-12 00:00,168.466,169.127,168.433,168.927,0
2023-05-14 00:00,168.791,169.618,168.765,169.584,0
2023-05-15 00:00,169.58,170.615,169.435,170.326,0
2023-05-16 00:00,170.331,170.828,169.393,170.328,0
2023-05-17 00:00,170.331,171.961,170.103,171.705,0
2023-05-18 00:00,171.707,172.134,171.194,171.68,0
2023-05-19 00:00,171.677,172.499,171.24,171.609,0
2023-05-21 00:00,171.583,171.807,171.361,171.534,0
2023-05-22 00:00,171.536,172.622,171.196,172.387,0
2023-05-23 00:00,172.387,172.393,171.278,171.999,0
2023-05-24 00:00,172.0,172.786,171.223,172.33,0
2023-05-25 00:00,172.331,172.769,171.981,172.397,0
2023-05-26 00:00,172.396,173.734,172.229,173.587,0
2023-05-28 00:00,173.35,173.947,173.35,173.585,0
2023-05-29 00:00,173.586,173.637,172.943,173.182,0
2023-05-30 00:00,173.18,174.273,172.984,173.164,0
2023-05-31 00:00,173.162,173.576,172.519,173.427,0
2023-06-01 00:00,173.429,174.161,173.316,173.95,0
2023-06-02 00:00,173.95,174.569,173.836,174.2,0
2023-06-04 00:00,174.174,174.336,174.07,174.198,0
2023-06-05 00:00,174.201,174.249,172.844,173.607,0
2023-06-06 00:00,173.609,173.769,172.67,173.086,0
2023-06-07 00:00,173.082,174.407,172.66,174.039,0
2023-06-08 00:00,174.036,174.856,173.9,174.742,0
2023-06-09 00:00,174.742,175.538,174.675,175.369,0
2023-06-11 00:00,175.346,175.463,175.136,175.275,0
2023-06-12 00:00,175.275,175.764,174.345,174.702,0
2023-06-13 00:00,174.702,176.869,174.676,176.583,0
2023-06-14 00:00,176.581,178.372,176.436,178.372,0
2023-06-15 00:00,178.371,179.747,178.122,179.525,0
2023-06-16 00:00,179.526,182.038,179.475,181.874,0
2023-06-18 00:00,181.84,182.091,181.323,181.388,0
2023-06-19 00:00,181.388,182.083,181.149,181.277,0
2023-06-20 00:00,181.274,181.739,179.917,180.725,0
2023-06-21 00:00,180.725,181.596,179.917,180.976,0
2023-06-22 00:00,180.977,182.447,180.705,181.854,0
2023-06-23 00:00,181.856,182.94,181.241,182.751,0
2023-06-25 00:00,182.613,182.988,182.336,182.612,0
2023-06-26 00:00,182.613,182.69,181.68,182.546,0
2023-06-27 00:00,182.545,183.759,182.538,183.306,0
2023-06-28 00:00,183.306,183.593,182.141,182.347,0
2023-06-29 00:00,182.348,182.952,182.243,182.682,0
2023-06-30 00:00,182.68,183.81,182.194,183.205,0
2023-07-02 00:00,183.176,183.751,183.091,183.657,0
2023-07-03 00:00,183.657,183.733,183.1,183.54,0
2023-07-04 00:00,183.539,183.906,183.256,183.629,0
2023-07-05 00:00,183.626,184.008,183.054,183.087,0
2023-07-06 00:00,183.087,183.904,182.495,183.285,0
2023-07-07 00:00,183.285,183.334,182.012,182.35,0
2023-07-09 00:00,182.531,183.141,182.43,182.913,0
2023-07-10 00:00,182.915,183.214,180.996,181.306,0
2023-07-11 00:00,181.308,181.762,180.656,180.975,0
2023-07-12 00:00,180.973,181.041,179.462,180.214,0
2023-07-13 00:00,180.216,181.421,179.869,180.561,0
2023-07-14 00:00,180.557,182.28,180.467,181.858,0
